2025-07-17 18:18:36,013 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:18:22,994 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:19:18,238 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:19:18,241 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:20:09,399 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:20:09,401 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:20:33,364 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:20:33,367 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:26:38,664 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:26:38,665 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:26:56,342 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:26:56,344 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:27:18,331 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:27:18,332 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:27:42,771 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:27:42,773 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:27:53,934 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:27:53,935 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:28:07,071 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:28:07,073 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:28:30,521 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:28:30,523 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:31:07,453 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:31:07,454 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:37:59,776 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:37:59,777 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:38:15,033 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:38:15,035 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:38:24,935 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:38:24,937 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:38:51,840 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:38:51,843 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:39:06,897 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:39:06,898 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:39:19,970 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:39:19,972 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:39:43,687 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:39:43,689 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:40:00,974 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:40:00,976 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:40:15,321 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:40:15,322 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:40:55,453 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:40:55,455 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:41:07,432 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:41:07,434 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:41:36,853 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:41:36,855 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:41:56,278 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:41:56,280 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:47:17,686 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:47:17,688 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:47:48,015 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:47:48,017 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:48:03,061 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:48:03,064 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:49:56,715 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:49:56,717 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:50:09,855 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:50:09,859 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:54:09,898 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:54:09,900 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:54:19,266 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:54:19,268 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:54:51,816 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:54:51,817 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:55:11,201 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:55:11,204 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:55:54,071 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:55:54,074 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:56:14,067 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:56:14,069 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:56:22,067 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:56:22,069 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:57:53,855 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:57:53,857 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 10:59:49,369 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 10:59:49,370 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 11:01:08,576 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 11:01:08,578 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 11:01:54,173 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 11:01:54,174 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 11:02:29,179 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 11:02:29,182 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 11:02:53,701 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 11:02:53,702 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 11:03:15,787 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 11:03:15,790 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 11:03:27,723 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 11:03:27,724 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
2025-07-18 11:07:07,620 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('01/03/2015', 'Ben B', 'Sam N', 'Lunch', 'One Cheeseburger'): Invalid amount: One Cheeseburger
2025-07-18 11:07:07,622 - SupportBank - ERROR - [ERROR READING TRANSACTION] ('Last Thursday', 'Sarah T', 'Dan W', 'Beers', '5.42'): Invalid date: Last Thursday
